case_num,dataset,model,batch_size,max_epoch,optimizer,learning_rate,lr_step,lr_gamma,l2_decay,loss_fn,use_tensorboard,eval_metric,ACC
0,cifar10,vgg16,50,60,adam,1E-01,60,0.1,0,cross_entropy,FALSE,class_acc,1.00499996989965E-01
1,cifar10,vgg16,50,60,adam,5E-02,60,0.1,0,cross_entropy,FALSE,class_acc,8.27099974453449E-01
2,cifar10,vgg16,50,60,adam,1E-02,60,0.1,0,cross_entropy,FALSE,class_acc,9.04999976754189E-01
3,cifar10,vgg16,50,60,adam,5E-03,60,0.1,0,cross_entropy,FALSE,class_acc,9.04499978125095E-01
4,cifar10,vgg16,50,60,adam,1E-03,60,0.1,0,cross_entropy,FALSE,class_acc,9.11399975419044E-01
5,cifar10,vgg16,50,60,adam,5E-04,60,0.1,0,cross_entropy,FALSE,class_acc,9.12099975049496E-01
6,cifar10,vgg16,50,60,adam,1E-04,60,0.1,0,cross_entropy,FALSE,class_acc,9.04799975454807E-01
7,cifar10,vgg16,50,60,adam,5E-05,60,0.1,0,cross_entropy,FALSE,class_acc,8.93099975287914E-01
8,cifar10,vgg16,50,60,adam,1E-05,60,0.1,0,cross_entropy,FALSE,class_acc,8.33499976396561E-01
9,cifar10,vgg16,40,60,adam,1E-01,60,0.1,0,cross_entropy,FALSE,class_acc,1.04500001691282E-01
10,cifar10,vgg16,40,60,adam,5E-02,60,0.1,0,cross_entropy,FALSE,class_acc,6.68400010943413E-01
11,cifar10,vgg16,40,60,adam,1E-02,60,0.1,0,cross_entropy,FALSE,class_acc,9.04200013160706E-01
12,cifar10,vgg16,40,60,adam,5E-03,60,0.1,0,cross_entropy,FALSE,class_acc,9.05800012350082E-01
13,cifar10,vgg16,40,60,adam,1E-03,60,0.1,0,cross_entropy,FALSE,class_acc,9.15000010728836E-01
14,cifar10,vgg16,40,60,adam,5E-04,60,0.1,0,cross_entropy,FALSE,class_acc,9.1300001335144E-01
15,cifar10,vgg16,40,60,adam,1E-04,60,0.1,0,cross_entropy,FALSE,class_acc,9.09400010585785E-01
16,cifar10,vgg16,40,60,adam,5E-05,60,0.1,0,cross_entropy,FALSE,class_acc,8.95500012636185E-01
17,cifar10,vgg16,40,60,adam,1E-05,60,0.1,0,cross_entropy,FALSE,class_acc,8.38500011205673E-01
18,cifar10,vgg16,30,60,adam,1E-01,60,0.1,0,cross_entropy,FALSE,class_acc,1.02800006277859E-01
19,cifar10,vgg16,30,60,adam,5E-02,60,0.1,0,cross_entropy,FALSE,class_acc,1.01100006114691E-01
20,cifar10,vgg16,30,60,adam,1E-02,60,0.1,0,cross_entropy,FALSE,class_acc,9.0390004658699E-01
21,cifar10,vgg16,30,60,adam,5E-03,60,0.1,0,cross_entropy,FALSE,class_acc,9.04000048100948E-01
22,cifar10,vgg16,30,60,adam,1E-03,60,0.1,0,cross_entropy,FALSE,class_acc,9.13700046479702E-01
23,cifar10,vgg16,30,60,adam,5E-04,60,0.1,0,cross_entropy,FALSE,class_acc,9.12500045359135E-01
24,cifar10,vgg16,30,60,adam,1E-04,60,0.1,0,cross_entropy,FALSE,class_acc,9.14700047135353E-01
25,cifar10,vgg16,30,60,adam,5E-05,60,0.1,0,cross_entropy,FALSE,class_acc,9.04100046515465E-01
26,cifar10,vgg16,30,60,adam,1E-05,60,0.1,0,cross_entropy,FALSE,class_acc,8.48400050103664E-01
27,cifar10,vgg16,20,60,adam,1E-01,60,0.1,0,cross_entropy,FALSE,class_acc,1.01900002211332E-01
28,cifar10,vgg16,20,60,adam,5E-02,60,0.1,0,cross_entropy,FALSE,class_acc,6.7190001219511E-01
29,cifar10,vgg16,20,60,adam,1E-02,60,0.1,0,cross_entropy,FALSE,class_acc,9.0450001335144E-01
30,cifar10,vgg16,20,60,adam,5E-03,60,0.1,0,cross_entropy,FALSE,class_acc,9.04600011229515E-01
31,cifar10,vgg16,20,60,adam,1E-03,60,0.1,0,cross_entropy,FALSE,class_acc,9.10100011944771E-01
32,cifar10,vgg16,20,60,adam,5E-04,60,0.1,0,cross_entropy,FALSE,class_acc,9.12400009512901E-01
33,cifar10,vgg16,20,60,adam,1E-04,60,0.1,0,cross_entropy,FALSE,class_acc,9.15900011658669E-01
34,cifar10,vgg16,20,60,adam,5E-05,60,0.1,0,cross_entropy,FALSE,class_acc,9.05900012254715E-01
35,cifar10,vgg16,20,60,adam,1E-05,60,0.1,0,cross_entropy,FALSE,class_acc,8.62600014925003E-01
36,cifar10,vgg16,10,60,adam,1E-01,60,0.1,0,cross_entropy,FALSE,class_acc,1.0500000204891E-01
37,cifar10,vgg16,10,60,adam,5E-02,60,0.1,0,cross_entropy,FALSE,class_acc,5.77200007595122E-01
38,cifar10,vgg16,10,60,adam,1E-02,60,0.1,0,cross_entropy,FALSE,class_acc,8.93900016278029E-01
39,cifar10,vgg16,10,60,adam,5E-03,60,0.1,0,cross_entropy,FALSE,class_acc,8.99200016319752E-01
40,cifar10,vgg16,10,60,adam,1E-03,60,0.1,0,cross_entropy,FALSE,class_acc,9.09400015413761E-01
41,cifar10,vgg16,10,60,adam,5E-04,60,0.1,0,cross_entropy,FALSE,class_acc,9.12900015890598E-01
42,cifar10,vgg16,10,60,adam,1E-04,60,0.1,0,cross_entropy,FALSE,class_acc,9.13800015926361E-01
43,cifar10,vgg16,10,60,adam,5E-05,60,0.1,0,cross_entropy,FALSE,class_acc,9.10200016081333E-01
44,cifar10,vgg16,10,60,adam,1E-05,60,0.1,0,cross_entropy,FALSE,class_acc,8.75100015759468E-01
45,cifar10,vgg16,50,60,adam,1E-01,60,0.1,1E-03,cross_entropy,FALSE,class_acc,1.47099995911121E-01
46,cifar10,vgg16,50,60,adam,5E-02,60,0.1,1E-03,cross_entropy,FALSE,class_acc,2.12799993585795E-01
47,cifar10,vgg16,50,60,adam,1E-02,60,0.1,1E-03,cross_entropy,FALSE,class_acc,3.51799991354346E-01
48,cifar10,vgg16,50,60,adam,5E-03,60,0.1,1E-03,cross_entropy,FALSE,class_acc,5.9919998511672E-01
49,cifar10,vgg16,50,60,adam,1E-03,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.54799973368645E-01
50,cifar10,vgg16,50,60,adam,5E-04,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.8859997689724E-01
51,cifar10,vgg16,50,60,adam,1E-04,60,0.1,1E-03,cross_entropy,FALSE,class_acc,9.0769997805357E-01
52,cifar10,vgg16,50,60,adam,5E-05,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.99099977314472E-01
53,cifar10,vgg16,50,60,adam,1E-05,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.3699997574091E-01
54,cifar10,vgg16,40,60,adam,1E-01,60,0.1,1E-03,cross_entropy,FALSE,class_acc,1.23500001758337E-01
55,cifar10,vgg16,40,60,adam,5E-02,60,0.1,1E-03,cross_entropy,FALSE,class_acc,1.99700003750622E-01
56,cifar10,vgg16,40,60,adam,1E-02,60,0.1,1E-03,cross_entropy,FALSE,class_acc,2.90100005805492E-01
57,cifar10,vgg16,40,60,adam,5E-03,60,0.1,1E-03,cross_entropy,FALSE,class_acc,5.97700009942055E-01
58,cifar10,vgg16,40,60,adam,1E-03,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.52000011444092E-01
59,cifar10,vgg16,40,60,adam,5E-04,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.88400010108948E-01
60,cifar10,vgg16,40,60,adam,1E-04,60,0.1,1E-03,cross_entropy,FALSE,class_acc,9.03800010442734E-01
61,cifar10,vgg16,40,60,adam,5E-05,60,0.1,1E-03,cross_entropy,FALSE,class_acc,9.00500011920929E-01
62,cifar10,vgg16,40,60,adam,1E-05,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.42700013160706E-01
63,cifar10,vgg16,30,60,adam,1E-01,60,0.1,1E-03,cross_entropy,FALSE,class_acc,1.17500007320195E-01
64,cifar10,vgg16,30,60,adam,5E-02,60,0.1,1E-03,cross_entropy,FALSE,class_acc,2.02400011803955E-01
65,cifar10,vgg16,30,60,adam,1E-02,60,0.1,1E-03,cross_entropy,FALSE,class_acc,3.67400019064546E-01
66,cifar10,vgg16,30,60,adam,5E-03,60,0.1,1E-03,cross_entropy,FALSE,class_acc,3.60700018383563E-01
67,cifar10,vgg16,30,60,adam,1E-03,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.42600050210953E-01
68,cifar10,vgg16,30,60,adam,5E-04,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.82500048756599E-01
69,cifar10,vgg16,30,60,adam,1E-04,60,0.1,1E-03,cross_entropy,FALSE,class_acc,9.02900046646595E-01
70,cifar10,vgg16,30,60,adam,5E-05,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.98200049996376E-01
71,cifar10,vgg16,30,60,adam,1E-05,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.48400050938129E-01
72,cifar10,vgg16,20,60,adam,1E-01,60,0.1,1E-03,cross_entropy,FALSE,class_acc,1.00700002089143E-01
73,cifar10,vgg16,20,60,adam,5E-02,60,0.1,1E-03,cross_entropy,FALSE,class_acc,1.9090000320226E-01
74,cifar10,vgg16,20,60,adam,1E-02,60,0.1,1E-03,cross_entropy,FALSE,class_acc,2.84000004477799E-01
75,cifar10,vgg16,20,60,adam,5E-03,60,0.1,1E-03,cross_entropy,FALSE,class_acc,4.59400008618832E-01
76,cifar10,vgg16,20,60,adam,1E-03,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.25600013971329E-01
77,cifar10,vgg16,20,60,adam,5E-04,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.68100013256073E-01
78,cifar10,vgg16,20,60,adam,1E-04,60,0.1,1E-03,cross_entropy,FALSE,class_acc,9.07500012755394E-01
79,cifar10,vgg16,20,60,adam,5E-05,60,0.1,1E-03,cross_entropy,FALSE,class_acc,9.04300011277199E-01
80,cifar10,vgg16,20,60,adam,1E-05,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.59000015377998E-01
81,cifar10,vgg16,10,60,adam,1E-01,60,0.1,1E-03,cross_entropy,FALSE,class_acc,1.40700002901256E-01
82,cifar10,vgg16,10,60,adam,5E-02,60,0.1,1E-03,cross_entropy,FALSE,class_acc,1.1010000218451E-01
83,cifar10,vgg16,10,60,adam,1E-02,60,0.1,1E-03,cross_entropy,FALSE,class_acc,2.43600005187094E-01
84,cifar10,vgg16,10,60,adam,5E-03,60,0.1,1E-03,cross_entropy,FALSE,class_acc,2.86900005631149E-01
85,cifar10,vgg16,10,60,adam,1E-03,60,0.1,1E-03,cross_entropy,FALSE,class_acc,7.44900010764599E-01
86,cifar10,vgg16,10,60,adam,5E-04,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.49800015538931E-01
87,cifar10,vgg16,10,60,adam,1E-04,60,0.1,1E-03,cross_entropy,FALSE,class_acc,9.02000015884638E-01
88,cifar10,vgg16,10,60,adam,5E-05,60,0.1,1E-03,cross_entropy,FALSE,class_acc,9.08200015306473E-01
89,cifar10,vgg16,10,60,adam,1E-05,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.8030001616478E-01
90,cifar10,vgg16,50,60,adam,1E-01,60,0.1,1E-03,cross_entropy,FALSE,class_acc,1.68599994946271E-01
91,cifar10,vgg16,50,60,adam,5E-02,60,0.1,1E-03,cross_entropy,FALSE,class_acc,1.98799994383007E-01
92,cifar10,vgg16,50,60,adam,1E-02,60,0.1,1E-03,cross_entropy,FALSE,class_acc,4.17999988496304E-01
93,cifar10,vgg16,50,60,adam,5E-03,60,0.1,1E-03,cross_entropy,FALSE,class_acc,6.1489998549223E-01
94,cifar10,vgg16,50,60,adam,1E-03,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.54099976420402E-01
95,cifar10,vgg16,50,60,adam,5E-04,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.872999766469E-01
96,cifar10,vgg16,50,60,adam,1E-04,60,0.1,1E-03,cross_entropy,FALSE,class_acc,9.01599974632263E-01
97,cifar10,vgg16,50,60,adam,5E-05,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.93399975001812E-01
98,cifar10,vgg16,50,60,adam,1E-05,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.30899975895882E-01
99,cifar10,vgg16,40,60,adam,1E-01,60,0.1,1E-03,cross_entropy,FALSE,class_acc,1.55300001941621E-01
100,cifar10,vgg16,40,60,adam,5E-02,60,0.1,1E-03,cross_entropy,FALSE,class_acc,1.951000033319E-01
101,cifar10,vgg16,40,60,adam,1E-02,60,0.1,1E-03,cross_entropy,FALSE,class_acc,3.35100006699562E-01
102,cifar10,vgg16,40,60,adam,5E-03,60,0.1,1E-03,cross_entropy,FALSE,class_acc,5.92700011372566E-01
103,cifar10,vgg16,40,60,adam,1E-03,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.50900011062622E-01
104,cifar10,vgg16,40,60,adam,5E-04,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.83400012731552E-01
105,cifar10,vgg16,40,60,adam,1E-04,60,0.1,1E-03,cross_entropy,FALSE,class_acc,9.06000011920929E-01
106,cifar10,vgg16,40,60,adam,5E-05,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.95700013875961E-01
107,cifar10,vgg16,40,60,adam,1E-05,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.4510001206398E-01
108,cifar10,vgg16,30,60,adam,1E-01,60,0.1,1E-03,cross_entropy,FALSE,class_acc,1.31800007984042E-01
109,cifar10,vgg16,30,60,adam,5E-02,60,0.1,1E-03,cross_entropy,FALSE,class_acc,1.98600011773407E-01
110,cifar10,vgg16,30,60,adam,1E-02,60,0.1,1E-03,cross_entropy,FALSE,class_acc,3.59700019299984E-01
111,cifar10,vgg16,30,60,adam,5E-03,60,0.1,1E-03,cross_entropy,FALSE,class_acc,5.91600035786629E-01
112,cifar10,vgg16,30,60,adam,1E-03,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.39300048649311E-01
113,cifar10,vgg16,30,60,adam,5E-04,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.7750005042553E-01
114,cifar10,vgg16,30,60,adam,1E-04,60,0.1,1E-03,cross_entropy,FALSE,class_acc,9.05400047838688E-01
115,cifar10,vgg16,30,60,adam,5E-05,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.99300047457218E-01
116,cifar10,vgg16,30,60,adam,1E-05,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.50000050246716E-01
117,cifar10,vgg16,20,60,adam,1E-01,60,0.1,1E-03,cross_entropy,FALSE,class_acc,1.09500002495945E-01
118,cifar10,vgg16,20,60,adam,5E-02,60,0.1,1E-03,cross_entropy,FALSE,class_acc,1.92100003316998E-01
119,cifar10,vgg16,20,60,adam,1E-02,60,0.1,1E-03,cross_entropy,FALSE,class_acc,2.57800003625453E-01
120,cifar10,vgg16,20,60,adam,5E-03,60,0.1,1E-03,cross_entropy,FALSE,class_acc,3.5620000538975E-01
121,cifar10,vgg16,20,60,adam,1E-03,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.14000013709068E-01
122,cifar10,vgg16,20,60,adam,5E-04,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.7300001502037E-01
123,cifar10,vgg16,20,60,adam,1E-04,60,0.1,1E-03,cross_entropy,FALSE,class_acc,9.08200011134148E-01
124,cifar10,vgg16,20,60,adam,5E-05,60,0.1,1E-03,cross_entropy,FALSE,class_acc,9.05500012278557E-01
125,cifar10,vgg16,20,60,adam,1E-05,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.62200014710426E-01
126,cifar10,vgg16,10,60,adam,1E-01,60,0.1,1E-03,cross_entropy,FALSE,class_acc,1.08800002031028E-01
127,cifar10,vgg16,10,60,adam,5E-02,60,0.1,1E-03,cross_entropy,FALSE,class_acc,1.13200002215803E-01
128,cifar10,vgg16,10,60,adam,1E-02,60,0.1,1E-03,cross_entropy,FALSE,class_acc,2.46600005365908E-01
129,cifar10,vgg16,10,60,adam,5E-03,60,0.1,1E-03,cross_entropy,FALSE,class_acc,2.73400005571544E-01
130,cifar10,vgg16,10,60,adam,1E-03,60,0.1,1E-03,cross_entropy,FALSE,class_acc,7.4570001026988E-01
131,cifar10,vgg16,10,60,adam,5E-04,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.53800014972687E-01
132,cifar10,vgg16,10,60,adam,1E-04,60,0.1,1E-03,cross_entropy,FALSE,class_acc,9.02300016701222E-01
133,cifar10,vgg16,10,60,adam,5E-05,60,0.1,1E-03,cross_entropy,FALSE,class_acc,9.06100015163422E-01
134,cifar10,vgg16,10,60,adam,1E-05,60,0.1,1E-03,cross_entropy,FALSE,class_acc,8.78000014960766E-01
